原始分	等级	Y1	Y2	T1	T2	转换分
44	=LOOKUP(1,0/(RANK(A12,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B12,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B12,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B12,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B12,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E12*(A12-D12)+F12*(C12-A12))/(C12-D12)
65	=LOOKUP(1,0/(RANK(A13,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B13,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B13,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B13,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B13,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E13*(A13-D13)+F13*(C13-A13))/(C13-D13)
47	=LOOKUP(1,0/(RANK(A14,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B14,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B14,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B14,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B14,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E14*(A14-D14)+F14*(C14-A14))/(C14-D14)
80	=LOOKUP(1,0/(RANK(A15,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B15,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B15,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B15,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B15,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E15*(A15-D15)+F15*(C15-A15))/(C15-D15)
58	=LOOKUP(1,0/(RANK(A16,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B16,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B16,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B16,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B16,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E16*(A16-D16)+F16*(C16-A16))/(C16-D16)
51	=LOOKUP(1,0/(RANK(A17,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B17,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B17,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B17,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B17,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E17*(A17-D17)+F17*(C17-A17))/(C17-D17)
56	=LOOKUP(1,0/(RANK(A18,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B18,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B18,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B18,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B18,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E18*(A18-D18)+F18*(C18-A18))/(C18-D18)
42	=LOOKUP(1,0/(RANK(A19,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B19,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B19,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B19,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B19,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E19*(A19-D19)+F19*(C19-A19))/(C19-D19)
47	=LOOKUP(1,0/(RANK(A20,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B20,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B20,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B20,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B20,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E20*(A20-D20)+F20*(C20-A20))/(C20-D20)
44	=LOOKUP(1,0/(RANK(A21,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B21,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B21,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B21,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B21,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E21*(A21-D21)+F21*(C21-A21))/(C21-D21)
79	=LOOKUP(1,0/(RANK(A22,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B22,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B22,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B22,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B22,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E22*(A22-D22)+F22*(C22-A22))/(C22-D22)
45	=LOOKUP(1,0/(RANK(A23,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B23,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B23,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B23,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B23,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E23*(A23-D23)+F23*(C23-A23))/(C23-D23)
45	=LOOKUP(1,0/(RANK(A24,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B24,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B24,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B24,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B24,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E24*(A24-D24)+F24*(C24-A24))/(C24-D24)
46	=LOOKUP(1,0/(RANK(A25,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B25,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B25,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B25,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B25,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E25*(A25-D25)+F25*(C25-A25))/(C25-D25)
39	=LOOKUP(1,0/(RANK(A26,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B26,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B26,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B26,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B26,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E26*(A26-D26)+F26*(C26-A26))/(C26-D26)
57	=LOOKUP(1,0/(RANK(A27,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B27,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B27,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B27,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B27,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E27*(A27-D27)+F27*(C27-A27))/(C27-D27)
64	=LOOKUP(1,0/(RANK(A28,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B28,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B28,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B28,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B28,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E28*(A28-D28)+F28*(C28-A28))/(C28-D28)
51	=LOOKUP(1,0/(RANK(A29,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B29,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B29,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B29,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B29,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E29*(A29-D29)+F29*(C29-A29))/(C29-D29)
55	=LOOKUP(1,0/(RANK(A30,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B30,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B30,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B30,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B30,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E30*(A30-D30)+F30*(C30-A30))/(C30-D30)
67	=LOOKUP(1,0/(RANK(A31,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B31,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B31,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B31,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B31,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E31*(A31-D31)+F31*(C31-A31))/(C31-D31)
49	=LOOKUP(1,0/(RANK(A32,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B32,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B32,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B32,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B32,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E32*(A32-D32)+F32*(C32-A32))/(C32-D32)
53	=LOOKUP(1,0/(RANK(A33,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B33,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B33,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B33,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B33,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E33*(A33-D33)+F33*(C33-A33))/(C33-D33)
41	=LOOKUP(1,0/(RANK(A34,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B34,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B34,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B34,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B34,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E34*(A34-D34)+F34*(C34-A34))/(C34-D34)
60	=LOOKUP(1,0/(RANK(A35,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B35,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B35,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B35,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B35,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E35*(A35-D35)+F35*(C35-A35))/(C35-D35)
45	=LOOKUP(1,0/(RANK(A36,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B36,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B36,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B36,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B36,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E36*(A36-D36)+F36*(C36-A36))/(C36-D36)
48	=LOOKUP(1,0/(RANK(A37,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B37,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B37,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B37,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B37,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E37*(A37-D37)+F37*(C37-A37))/(C37-D37)
65	=LOOKUP(1,0/(RANK(A38,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B38,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B38,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B38,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B38,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E38*(A38-D38)+F38*(C38-A38))/(C38-D38)
49	=LOOKUP(1,0/(RANK(A39,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B39,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B39,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B39,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B39,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E39*(A39-D39)+F39*(C39-A39))/(C39-D39)
55	=LOOKUP(1,0/(RANK(A40,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B40,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B40,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B40,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B40,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E40*(A40-D40)+F40*(C40-A40))/(C40-D40)
52	=LOOKUP(1,0/(RANK(A41,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B41,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B41,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B41,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B41,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E41*(A41-D41)+F41*(C41-A41))/(C41-D41)
57	=LOOKUP(1,0/(RANK(A42,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B42,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B42,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B42,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B42,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E42*(A42-D42)+F42*(C42-A42))/(C42-D42)
45	=LOOKUP(1,0/(RANK(A43,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B43,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B43,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B43,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B43,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E43*(A43-D43)+F43*(C43-A43))/(C43-D43)
66	=LOOKUP(1,0/(RANK(A44,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B44,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B44,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B44,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B44,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E44*(A44-D44)+F44*(C44-A44))/(C44-D44)
59	=LOOKUP(1,0/(RANK(A45,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B45,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B45,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B45,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B45,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E45*(A45-D45)+F45*(C45-A45))/(C45-D45)
45	=LOOKUP(1,0/(RANK(A46,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B46,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B46,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B46,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B46,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E46*(A46-D46)+F46*(C46-A46))/(C46-D46)
61	=LOOKUP(1,0/(RANK(A47,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B47,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B47,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B47,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B47,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E47*(A47-D47)+F47*(C47-A47))/(C47-D47)
57	=LOOKUP(1,0/(RANK(A48,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B48,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B48,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B48,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B48,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E48*(A48-D48)+F48*(C48-A48))/(C48-D48)
71	=LOOKUP(1,0/(RANK(A49,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B49,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B49,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B49,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B49,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E49*(A49-D49)+F49*(C49-A49))/(C49-D49)
69	=LOOKUP(1,0/(RANK(A50,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B50,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B50,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B50,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B50,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E50*(A50-D50)+F50*(C50-A50))/(C50-D50)
54	=LOOKUP(1,0/(RANK(A51,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B51,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B51,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B51,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B51,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E51*(A51-D51)+F51*(C51-A51))/(C51-D51)
52	=LOOKUP(1,0/(RANK(A52,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B52,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B52,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B52,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B52,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E52*(A52-D52)+F52*(C52-A52))/(C52-D52)
